year,name,price,mileage,location,page,url,model,mileage_mid
2023,2023 Honda CIVIC 2.0 TYPE R MY23 FL5 (M),298000.0,10000 - 14999,Kuala Lumpur,1,https://www.mudah.my/2023-honda-civic-2-0-type-r-my23-fl5-m-108539169.htm,civic,12499.5
2014,2014 Honda CITY 1.5 E FACELIFT (A) FULL ACCESSORY,33900.0,90000 - 94999,Penang,1,https://www.mudah.my/2014-honda-city-1-5-e-facelift-a-full-accessory-108649518.htm,city,92499.5
2019,2019 Honda CITY 1.5 (A) PRICE CORET UNTUNG 1K JA,49900.0,60000 - 64999,Penang,1,https://www.mudah.my/2019-honda-city-1-5-a-price-coret-untung-1k-ja-108527494.htm,city,62499.5
2015,2015 Honda HR-V 1.8 V (A) KEYLESS PUSHSTART F/SPEC,41800.0,130000 - 139999,Kuala Lumpur,1,https://www.mudah.my/2015-honda-hr-v-1-8-v-a-keyless-pushstart-f-spec-108716528.htm,hr-v,134999.5
2018,2018 Honda CITY 1.5 HYB (A) 3YRS WARRANTY H/LOAN,45999.0,55000 - 59999,Johor,1,https://www.mudah.my/2018-honda-city-1-5-hyb-a-3yrs-warranty-h-loan-108642918.htm,city,57499.5
2018,2018 Honda CIVIC 1.8 S(A) RR BODYKIT FULL WRTY H/L,72999.0,65000 - 69999,Johor,1,https://www.mudah.my/2018-honda-civic-1-8-s-a-rr-bodykit-full-wrty-h-l-108436714.htm,civic,67499.5
2014,2014 Honda JAZZ 1.5 S (A) Good Condition 2015,39000.0,120000 - 129999,Kedah,1,https://www.mudah.my/2014-honda-jazz-1-5-s-a-good-condition-2015-103454447.htm,jazz,124999.5
2022,2022 Honda STEPWAGON 1.5T SPADA (A),170000.0,25000 - 29999,Kuala Lumpur,1,https://www.mudah.my/2022-honda-stepwagon-1-5t-spada-a-108472726.htm,stepwagon,27499.5
2018,2018 Honda CR-V 1.5 TC-P 2WD (A),103800.0,95000 - 99999,Selangor,1,https://www.mudah.my/2018-honda-cr-v-1-5-tc-p-2wd-a-108096455.htm,cr-v,97499.5
2018,2018 Honda CR-V 2.0 2WD,108000.0,90000 - 94999,Selangor,1,https://www.mudah.my/2018-honda-cr-v-2-0-2wd-103816845.htm,cr-v,92499.5
2023,2023 Honda HR-V 1.5 HEV RS (A) HRV MILEAGE 15K,123800.0,10000 - 14999,Kuala Lumpur,1,https://www.mudah.my/2023-honda-hr-v-1-5-hev-rs-a-hrv-mileage-15k-107449671.htm,hr-v,12499.5
